"Date","Price","Open","High","Low","Vol.","Change %"
"06-06-2025","1,870.20","1,872.10","1,881.90","1,867.30","4.64M","-0.46%"
"05-06-2025","1,878.80","1,884.00","1,889.00","1,868.60","9.00M","0.18%"
"04-06-2025","1,875.40","1,855.00","1,884.60","1,850.00","5.89M","1.85%"
"03-06-2025","1,841.30","1,867.00","1,869.50","1,832.00","5.60M","-0.69%"
"02-06-2025","1,854.10","1,844.00","1,859.00","1,831.50","3.20M","-0.11%"
"30-05-2025","1,856.20","1,854.00","1,867.00","1,843.00","16.71M","-0.40%"
"29-05-2025","1,863.60","1,858.00","1,867.00","1,850.50","5.79M","0.40%"
"28-05-2025","1,856.10","1,848.00","1,867.00","1,845.10","3.71M","0.67%"
"27-05-2025","1,843.80","1,844.00","1,857.60","1,833.70","5.85M","-0.19%"
"26-05-2025","1,847.40","1,834.00","1,850.00","1,830.90","3.25M","0.86%"
"23-05-2025","1,831.70","1,825.00","1,841.80","1,821.50","3.46M","0.02%"
"22-05-2025","1,831.40","1,819.90","1,836.70","1,816.30","6.50M","0.49%"
"21-05-2025","1,822.50","1,813.00","1,826.50","1,805.30","6.85M","0.75%"
"20-05-2025","1,808.90","1,809.80","1,824.90","1,799.50","12.51M","-0.52%"
"19-05-2025","1,818.30","1,822.00","1,828.70","1,809.00","5.80M","0.24%"
"16-05-2025","1,814.00","1,834.00","1,834.00","1,810.10","100.66M","-2.85%"
"15-05-2025","1,867.20","1,849.90","1,869.90","1,825.00","8.79M","1.80%"
"14-05-2025","1,834.20","1,830.00","1,870.70","1,820.20","7.40M","0.75%"
"13-05-2025","1,820.60","1,870.00","1,883.70","1,816.60","8.82M","-2.68%"
"12-05-2025","1,870.80","1,868.90","1,883.40","1,854.00","3.94M","1.21%"
"09-05-2025","1,848.40","1,855.00","1,871.10","1,836.50","3.69M","-1.41%"
"08-05-2025","1,874.90","1,897.00","1,905.80","1,862.40","5.50M","-1.15%"
"07-05-2025","1,896.80","1,901.00","1,917.00","1,885.50","5.55M","-0.22%"
"06-05-2025","1,901.00","1,888.30","1,912.00","1,882.60","8.60M","1.88%"
"05-05-2025","1,866.00","1,868.00","1,873.50","1,849.20","3.55M","0.76%"
"02-05-2025","1,851.90","1,852.00","1,883.60","1,832.10","5.53M","-0.68%"
"30-04-2025","1,864.50","1,837.00","1,876.90","1,827.00","9.14M","2.23%"
"29-04-2025","1,823.80","1,823.70","1,847.80","1,817.60","4.68M","0.11%"
"28-04-2025","1,821.80","1,836.00","1,838.90","1,813.40","3.30M","0.25%"
"25-04-2025","1,817.20","1,846.70","1,861.70","1,806.00","4.57M","-1.54%"
"24-04-2025","1,845.60","1,874.50","1,877.80","1,839.50","5.18M","-1.91%"
"23-04-2025","1,881.60","1,867.00","1,885.90","1,836.10","6.86M","1.59%"
"22-04-2025","1,852.20","1,888.00","1,888.00","1,836.80","6.16M","-1.66%"
"21-04-2025","1,883.40","1,898.40","1,904.30","1,868.60","3.50M","-0.30%"
"17-04-2025","1,889.10","1,834.00","1,897.70","1,825.70","10.89M","3.65%"
"16-04-2025","1,822.60","1,802.40","1,826.50","1,794.10","6.18M","1.32%"
"15-04-2025","1,798.80","1,808.20","1,820.00","1,781.10","10.31M","2.40%"
"11-04-2025","1,756.60","1,760.00","1,767.00","1,732.35","8.34M","2.39%"
"09-04-2025","1,715.55","1,719.65","1,726.85","1,711.60","5.60M","-0.28%"
"08-04-2025","1,720.40","1,720.70","1,742.30","1,706.80","7.21M","2.00%"
"07-04-2025","1,686.65","1,730.00","1,774.75","1,669.40","14.87M","-3.26%"
"04-04-2025","1,743.45","1,754.50","1,770.80","1,740.00","7.82M","-0.15%"
"03-04-2025","1,746.00","1,748.00","1,754.95","1,735.45","2.34M","-0.49%"
"02-04-2025","1,754.60","1,720.00","1,760.40","1,716.95","6.43M","1.77%"
"01-04-2025","1,724.15","1,715.00","1,765.00","1,708.45","6.77M","-0.53%"
"28-03-2025","1,733.40","1,733.30","1,745.75","1,660.00","4.13M","0.50%"
"27-03-2025","1,724.70","1,739.95","1,746.40","1,713.25","6.22M","-0.80%"
"26-03-2025","1,738.55","1,739.15","1,765.00","1,726.15","7.14M","0.47%"
"25-03-2025","1,730.50","1,725.00","1,740.50","1,706.10","4.86M","0.68%"
"24-03-2025","1,718.80","1,740.00","1,740.00","1,714.85","4.12M","-0.41%"
"21-03-2025","1,725.80","1,709.65","1,731.40","1,692.00","14.72M","1.21%"
"20-03-2025","1,705.25","1,660.00","1,709.65","1,646.10","12.07M","4.16%"
"19-03-2025","1,637.15","1,635.00","1,642.05","1,627.50","6.28M","0.61%"
"18-03-2025","1,627.30","1,649.50","1,655.00","1,622.10","6.54M","-0.72%"
"17-03-2025","1,639.15","1,612.20","1,648.40","1,612.20","6.41M","0.41%"
"13-03-2025","1,632.50","1,650.80","1,656.90","1,629.60","8.32M","-0.63%"
"12-03-2025","1,642.85","1,690.00","1,716.65","1,634.00","9.91M","-1.21%"
"11-03-2025","1,662.95","1,630.00","1,676.40","1,624.05","6.08M","1.96%"
"10-03-2025","1,630.95","1,640.00","1,654.90","1,626.60","3.78M","0.02%"
"07-03-2025","1,630.70","1,629.00","1,642.40","1,615.60","3.04M","0.23%"
"06-03-2025","1,626.90","1,618.00","1,631.75","1,590.45","5.17M","0.53%"
"05-03-2025","1,618.25","1,578.00","1,626.10","1,577.10","6.30M","2.72%"
"04-03-2025","1,575.35","1,589.00","1,590.50","1,568.00","5.22M","-1.28%"
"03-03-2025","1,595.80","1,579.00","1,602.75","1,572.75","6.99M","1.63%"
"28-02-2025","1,570.20","1,641.95","1,648.45","1,559.50","13.64M","-4.86%"
"27-02-2025","1,650.40","1,643.40","1,656.00","1,638.65","7.57M","0.55%"
"25-02-2025","1,641.40","1,597.00","1,649.15","1,597.00","6.29M","2.50%"
"24-02-2025","1,601.30","1,627.00","1,637.55","1,598.00","4.67M","-2.32%"
"21-02-2025","1,639.25","1,643.50","1,658.70","1,629.20","5.45M","-0.26%"
"20-02-2025","1,643.50","1,639.85","1,649.80","1,627.25","5.52M","-0.10%"
"19-02-2025","1,645.20","1,670.00","1,673.45","1,638.45","7.78M","-1.42%"
"18-02-2025","1,668.90","1,692.00","1,695.95","1,655.80","7.53M","-0.40%"
"17-02-2025","1,675.55","1,711.75","1,716.90","1,666.25","4.91M","-2.42%"
"14-02-2025","1,717.05","1,714.00","1,724.10","1,705.25","5.13M","0.14%"
"13-02-2025","1,714.60","1,710.00","1,728.40","1,703.90","5.36M","0.18%"
"12-02-2025","1,711.55","1,704.00","1,713.70","1,684.50","7.15M","0.87%"
"11-02-2025","1,696.75","1,706.00","1,706.65","1,686.20","8.97M","0.22%"
"10-02-2025","1,693.05","1,698.85","1,700.00","1,678.05","6.78M","0.97%"
"07-02-2025","1,676.75","1,635.05","1,707.55","1,635.00","14.87M","3.52%"
"06-02-2025","1,619.75","1,665.90","1,667.30","1,613.25","5.23M","-2.45%"
"05-02-2025","1,660.45","1,670.00","1,675.20","1,649.10","3.92M","-0.06%"
"04-02-2025","1,661.45","1,662.15","1,668.30","1,629.05","6.39M","0.55%"
"03-02-2025","1,652.35","1,619.90","1,661.00","1,608.10","4.15M","1.79%"
"01-02-2025","1,623.25","1,627.00","1,644.00","1,609.20","2.74M","-0.19%"
"31-01-2025","1,626.30","1,639.10","1,639.10","1,574.25","8.34M","-0.88%"
"30-01-2025","1,640.75","1,606.70","1,644.95","1,595.20","4.28M","2.52%"
"29-01-2025","1,600.45","1,620.00","1,626.90","1,593.15","5.01M","-1.11%"
"28-01-2025","1,618.35","1,607.65","1,630.30","1,597.00","5.22M","0.98%"
"27-01-2025","1,602.60","1,638.95","1,647.20","1,593.70","6.62M","-2.57%"
"24-01-2025","1,644.80","1,634.05","1,661.90","1,634.05","3.62M","0.54%"
"23-01-2025","1,636.00","1,624.50","1,645.40","1,617.20","2.46M","0.26%"
"22-01-2025","1,631.75","1,627.50","1,641.00","1,622.55","3.26M","0.34%"
"21-01-2025","1,626.15","1,654.00","1,656.70","1,620.30","7.96M","-0.91%"
"20-01-2025","1,641.15","1,638.00","1,645.00","1,618.10","3.93M","0.84%"
"17-01-2025","1,627.50","1,630.10","1,639.00","1,623.00","2.68M","-0.17%"
"16-01-2025","1,630.20","1,619.05","1,635.00","1,600.55","5.30M","1.42%"
"15-01-2025","1,607.45","1,608.05","1,613.85","1,593.00","2.96M","0.46%"
"14-01-2025","1,600.10","1,604.70","1,633.40","1,578.50","7.28M","0.18%"
"13-01-2025","1,597.20","1,580.00","1,614.70","1,578.10","3.71M","-1.16%"
"10-01-2025","1,615.90","1,608.00","1,625.00","1,591.80","4.15M","0.55%"
"09-01-2025","1,607.05","1,600.00","1,620.20","1,592.40","4.68M","0.49%"
"08-01-2025","1,599.20","1,598.75","1,613.45","1,577.85","3.67M","0.52%"
"07-01-2025","1,590.85","1,594.00","1,603.00","1,584.05","2.83M","0.15%"
"06-01-2025","1,588.45","1,596.15","1,609.85","1,567.10","4.58M","-0.65%"
"03-01-2025","1,598.85","1,615.00","1,617.00","1,593.30","3.67M","-0.67%"
"02-01-2025","1,609.70","1,599.90","1,619.60","1,588.40","3.73M","0.88%"
"01-01-2025","1,595.70","1,593.00","1,606.55","1,584.05","1.41M","0.50%"
"31-12-2024","1,587.75","1,583.00","1,597.20","1,563.35","2.25M","0.05%"
"30-12-2024","1,586.90","1,605.00","1,613.05","1,581.10","4.44M","-0.81%"
"27-12-2024","1,599.85","1,599.50","1,628.45","1,596.30","2.56M","0.02%"
"26-12-2024","1,599.50","1,583.90","1,606.85","1,581.10","3.40M","0.98%"
"24-12-2024","1,583.90","1,590.00","1,598.80","1,575.00","3.61M","-0.19%"
"23-12-2024","1,586.90","1,586.00","1,607.45","1,578.35","4.36M","0.56%"
"20-12-2024","1,578.10","1,610.00","1,622.30","1,573.40","9.74M","-1.39%"
"19-12-2024","1,600.30","1,586.40","1,609.75","1,585.45","5.87M","-0.10%"
"18-12-2024","1,601.90","1,621.40","1,623.00","1,596.10","3.91M","-0.83%"
